name,address,cuisines,id,image,numberOfReviews,phone,photoCount,rankingPosition,rating,ratingHistogram/count1,ratingHistogram/count2,ratingHistogram/count3,ratingHistogram/count4,ratingHistogram/count5,rawRanking,webUrl,website
Verviers Bakery,"144, Wolsan-Ro",,8910493,https://media-cdn.tripadvisor.com/media/photo-w/2b/7d/d3/62/caption.jpg,9,+82 62-682-0696,1,6,5,0,0,0,2,7,3.15538001060486,https://www.tripadvisor.com/Restaurant_Review-g304129-d8910493-Reviews-Verviers_Bakery-Gwangju.html,http://www.facebook.com/verviers1991/
Choemija Someori Gukbap,"20, Docheok-ro, Gonjiam-eup",,8714342,https://media-cdn.tripadvisor.com/media/photo-o/0d/73/b5/bd/20161029-082048-largejpg.jpg,14,+82 31-764-0257,8,6,4,1,0,3,6,4,3.091472864151,https://www.tripadvisor.com/Restaurant_Review-g2024868-d8714342-Reviews-Choemija_Someori_Gukbap-Gwangju_Gyeonggi_do.html,
Cafe Bari E,"23, Uncheon-ro113beon-Gil",,8890153,https://media-cdn.tripadvisor.com/media/photo-o/0a/5f/7e/f6/photo1jpg.jpg,13,,2,7,4.5,0,0,1,4,8,3.14956569671631,https://www.tripadvisor.com/Restaurant_Review-g304129-d8890153-Reviews-Cafe_Bari_E-Gwangju.html,
Odaeo Bajirak Kalguksu,"722-3, Sinhyeon-ri, Opo-eup",Asian,5512725,,6,+82 31-758-9494,0,7,4.5,0,0,0,3,3,3.08378314971924,https://www.tripadvisor.com/Restaurant_Review-g2024868-d5512725-Reviews-Odaeo_Bajirak_Kalguksu-Gwangju_Gyeonggi_do.html,
Sangchu Tuigim,"12, Sangmujungang-ro 34beon-gil, Seo-gu",,8532274,https://media-cdn.tripadvisor.com/media/photo-o/08/c1/92/49/caption.jpg,23,+82 70-4205-3721,2,8,4,1,1,2,10,9,3.14869523048401,https://www.tripadvisor.com/Restaurant_Review-g304129-d8532274-Reviews-Sangchu_Tuigim-Gwangju.html,
Dami Jeong,"29, Seolwol-Gil",,9103867,https://media-cdn.tripadvisor.com/media/photo-o/0c/50/50/e3/photo1jpg.jpg,6,+82 31-764-0473,4,8,4.5,0,0,0,3,3,3.0817346572876,https://www.tripadvisor.com/Restaurant_Review-g2024868-d9103867-Reviews-Dami_Jeong-Gwangju_Gyeonggi_do.html,
Songjeong Tteokgalbi 2,"6, Gwangsan-ro 30beon-gil, Gwangsan-gu",Asian,8720993,https://media-cdn.tripadvisor.com/media/photo-o/09/3d/bc/f2/songjeong-tteokgalbi.jpg,13,+82 62-944-1438,8,9,4.5,0,0,0,8,5,3.14474964141846,https://www.tripadvisor.com/Restaurant_Review-g304129-d8720993-Reviews-Songjeong_Tteokgalbi_2-Gwangju.html,
Gungtteul,"38, Gungpyeonghacheon-Gil",,9026127,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/70/7a/be/photo1jpg.jpg,3,+82 31-766-0987,13,9,5,0,0,0,0,3,3.07786583900452,https://www.tripadvisor.com/Restaurant_Review-g2024868-d9026127-Reviews-Gungtteul-Gwangju_Gyeonggi_do.html,http://loveyh7660987.modoo.at
Cheongwon Mo Wheat,"2, Chipyeong-Ro",,9125511,https://media-cdn.tripadvisor.com/media/photo-o/11/ea/ac/99/c360-2018-01-24-12-23.jpg,12,,8,10,4.5,0,0,1,6,5,3.1436333656311,https://www.tripadvisor.com/Restaurant_Review-g304129-d9125511-Reviews-Cheongwon_Mo_Wheat-Gwangju.html,
La Grotta,"San 23-1, Doung-ri, Docheok-myeon",,7776798,https://media-cdn.tripadvisor.com/media/photo-o/0c/61/ad/ab/la-grotta.jpg,7,+82 31-8026-5566,10,10,4.5,0,0,1,3,3,3.06663870811462,https://www.tripadvisor.com/Restaurant_Review-g2024868-d7776798-Reviews-La_Grotta-Gwangju_Gyeonggi_do.html,
Kunst Lounge,"4, Dongmyeong-Ro",,9438977,https://media-cdn.tripadvisor.com/media/photo-s/0d/67/c0/9c/caption.jpg,12,+82 62-223-0009,1,11,4.5,0,0,0,6,6,3.13767719268799,https://www.tripadvisor.com/Restaurant_Review-g304129-d9438977-Reviews-Kunst_Lounge-Gwangju.html,
Gungpyeong Sikdang,"188, Docheogwit-ro, Docheok-myeon",Asian,7776800,https://media-cdn.tripadvisor.com/media/photo-o/07/75/13/27/out-front.jpg,11,+82 31-761-3190,4,11,4,0,2,1,5,3,3.06628847122192,https://www.tripadvisor.com/Restaurant_Review-g2024868-d7776800-Reviews-Gungpyeong_Sikdang-Gwangju_Gyeonggi_do.html,
Sujata,"3, Dongsan-gil 7beon-gil, Dong-gu",Asian,8737469,https://media-cdn.tripadvisor.com/media/photo-o/0a/bc/8c/b4/first-plate-of-delicious.jpg,14,+82 62-222-1145,14,12,4.5,0,1,1,3,9,3.13549971580505,https://www.tripadvisor.com/Restaurant_Review-g304129-d8737469-Reviews-Sujata-Gwangju.html,
Hongkong Chinese Restaurant 0410,"124, Jungang-Ro",,9010201,,5,+82 31-763-0413,0,12,4,0,0,1,2,2,3.05954909324646,https://www.tripadvisor.com/Restaurant_Review-g2024868-d9010201-Reviews-Hongkong_Chinese_Restaurant_0410-Gwangju_Gyeonggi_do.html,
Ddumbeong,"2, Seoha-ro257beon-Gil",Italian,9111080,,9,,0,13,5,0,0,0,0,9,3.126145362854,https://www.tripadvisor.com/Restaurant_Review-g304129-d9111080-Reviews-Ddumbeong-Gwangju.html,
Bongpyeong Memil Makguksu,"17, Neungpyeong-ro, Opo-eup",Asian,6732906,https://media-cdn.tripadvisor.com/media/photo-m/1280/10/ae/56/47/img-20170916-192755-largejpg.jpg,5,+82 31-718-6116,1,13,4.5,0,0,0,3,2,3.05860114097595,https://www.tripadvisor.com/Restaurant_Review-g2024868-d6732906-Reviews-Bongpyeong_Memil_Makguksu-Gwangju_Gyeonggi_do.html,
Dayeon Dakgalbi Sangmu,23-1 Sangmuminju-ro,,9106644,https://media-cdn.tripadvisor.com/media/photo-o/18/13/73/07/20190626-133143-023-largejpg.jpg,9,+82 62-953-3236,55,14,5,0,0,0,0,9,3.12041974067688,https://www.tripadvisor.com/Restaurant_Review-g304129-d9106644-Reviews-Dayeon_Dakgalbi_Sangmu-Gwangju.html,
Pu Rilri,"1292, Gyeongchung-Daero",,9337016,https://media-cdn.tripadvisor.com/media/photo-o/0b/d4/b5/e1/img-20160703-171853-largejpg.jpg,4,,4,14,5,0,0,0,1,3,3.05653214454651,https://www.tripadvisor.com/Restaurant_Review-g2024868-d9337016-Reviews-Pu_Rilri-Gwangju_Gyeonggi_do.html,
Yeongmi Oritang,"126, Gyeongyang-ro, Buk-gu",Asian,4121868,https://media-cdn.tripadvisor.com/media/photo-o/05/69/aa/a9/yeongmi-oritang.jpg,12,+82 62-527-0248,3,15,4.5,0,0,2,5,5,3.11867690086365,https://www.tripadvisor.com/Restaurant_Review-g304129-d4121868-Reviews-Yeongmi_Oritang-Gwangju.html,
Tequilaz R.,"45, Baekseo-ro 125beon-gil, Dong-gu",Mexican,8385343,https://media-cdn.tripadvisor.com/media/photo-o/09/74/a6/51/tequilaz-r.jpg,10,+82 10-5459-2436,8,16,4.5,0,0,1,4,5,3.11533284187317,https://www.tripadvisor.com/Restaurant_Review-g304129-d8385343-Reviews-Tequilaz_R-Gwangju.html,http://www.facebook.com/TequilazR
Gluttonous Korean Beef,"252, Cheongseok-Ro",,9066904,https://media-cdn.tripadvisor.com/media/photo-o/11/67/29/ae/caption.jpg,3,+82 31-768-9234,7,16,4.5,0,0,0,1,2,3.04979395866394,https://www.tripadvisor.com/Restaurant_Review-g2024868-d9066904-Reviews-Gluttonous_Korean_Beef-Gwangju_Gyeonggi_do.html,
Kimkangsim Kalguksu,"841, Hoejae-ro, Seo-gu",Asian,8535648,https://media-cdn.tripadvisor.com/media/photo-o/0a/f1/be/81/caption.jpg,17,+82 62-682-0801,2,17,4,0,1,2,10,4,3.11499571800232,https://www.tripadvisor.com/Restaurant_Review-g304129-d8535648-Reviews-Kimkangsim_Kalguksu-Gwangju.html,
Suka Chae Yellow Beans Rice Soup,"21, Saemal-Gil",,9250940,https://media-cdn.tripadvisor.com/media/photo-o/12/13/40/48/photo0jpg.jpg,6,+82 31-718-4005,1,17,4,0,0,2,3,1,3.04595470428467,https://www.tripadvisor.com/Restaurant_Review-g2024868-d9250940-Reviews-Suka_Chae_Yellow_Beans_Rice_Soup-Gwangju_Gyeonggi_do.html,
Bean Drugs,"708, Sangmu-daero, Seo-gu",Cafe,8385344,,9,+82 62-382-2400,0,18,4.5,0,0,0,3,6,3.11337161064148,https://www.tripadvisor.com/Restaurant_Review-g304129-d8385344-Reviews-Bean_Drugs-Gwangju.html,
Opo Korean Beef Village,"110, Neungpyeong-Ro",,9357318,https://media-cdn.tripadvisor.com/media/photo-w/16/de/76/3b/caption.jpg,3,,8,18,4.5,0,0,0,2,1,3.04589581489563,https://www.tripadvisor.com/Restaurant_Review-g2024868-d9357318-Reviews-Opo_Korean_Beef_Village-Gwangju_Gyeonggi_do.html,
Sin Rakwon,"180, Bongseon-Ro",,9279675,https://media-cdn.tripadvisor.com/media/photo-o/0b/02/78/33/35000.jpg,9,,3,19,4.5,0,0,1,4,4,3.11246013641357,https://www.tripadvisor.com/Restaurant_Review-g304129-d9279675-Reviews-Sin_Rakwon-Gwangju.html,
Chowol Handmade Man du Rang Steamed Bun,Sanhabilding 70 Hyeonsan-ro,,9135509,,2,,0,19,5,0,0,0,0,2,3.04480504989624,https://www.tripadvisor.com/Restaurant_Review-g2024868-d9135509-Reviews-Chowol_Handmade_Man_du_Rang_Steamed_Bun-Gwangju_Gyeonggi_do.html,
Seoul Kkakdugi,"97-6, Sangmusimin-Ro",,9272775,https://media-cdn.tripadvisor.com/media/photo-o/0a/29/7a/0e/img-20160128-132228-largejpg.jpg,9,+82 62-385-2123,8,20,4,0,0,1,6,2,3.11071109771729,https://www.tripadvisor.com/Restaurant_Review-g304129-d9272775-Reviews-Seoul_Kkakdugi-Gwangju.html,
Sanseongson Tofu,"745-8 Namhansanseong-ro, Namhansanseong-myeon",Asian,27122590,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/31/3a/15/caption.jpg,1,,5,20,5,0,0,0,0,1,3.04391074180603,https://www.tripadvisor.com/Restaurant_Review-g2024868-d27122590-Reviews-Sanseongson_Tofu-Gwangju_Gyeonggi_do.html,
Coboc,"114, Sangmujungang-Ro",,9139507,https://media-cdn.tripadvisor.com/media/photo-o/09/e5/53/22/coboc.jpg,11,,1,21,4.5,0,0,3,2,6,3.1106104850769,https://www.tripadvisor.com/Restaurant_Review-g304129-d9139507-Reviews-Coboc-Gwangju.html,
Jageun Yeonmot,"652, Neungpyeong-ri, Opo-eup",Asian,4032957,https://media-cdn.tripadvisor.com/media/photo-o/10/ce/29/e8/caption.jpg,3,+82 31-718-7475,5,21,4.5,0,0,0,1,2,3.04340720176697,https://www.tripadvisor.com/Restaurant_Review-g2024868-d4032957-Reviews-Jageun_Yeonmot-Gwangju_Gyeonggi_do.html,
Yu Jinjeong,"15, Uncheon-ro31beon-Gil",,9204102,https://media-cdn.tripadvisor.com/media/photo-o/0c/ae/8b/18/caption.jpg,8,+82 62-372-5289,2,22,4.5,0,0,1,1,6,3.10811924934387,https://www.tripadvisor.com/Restaurant_Review-g304129-d9204102-Reviews-Yu_Jinjeong-Gwangju.html,
Peulrorida,"136, Donggyecheon-Ro",,9321155,,8,,0,23,4.5,0,0,0,3,5,3.10310101509094,https://www.tripadvisor.com/Restaurant_Review-g304129-d9321155-Reviews-Peulrorida-Gwangju.html,
Goryeo Jo Samgyetang,"809, Imbangul-Daero",,9018680,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/99/ae/04/photo0jpg.jpg,6,+82 62-974-3398,3,24,5,0,0,0,1,5,3.10113406181335,https://www.tripadvisor.com/Restaurant_Review-g304129-d9018680-Reviews-Goryeo_Jo_Samgyetang-Gwangju.html,
Rustic House,"146, Munhyeongsan-gil, Opo-eup",Italian,17758783,https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/59/73/e7/photo0jpg.jpg,4,+82 31-719-9291,18,24,4,0,0,1,3,0,3.03986263275146,https://www.tripadvisor.com/Restaurant_Review-g2024868-d17758783-Reviews-Rustic_House-Gwangju_Gyeonggi_do.html,http://rustichouse.modoo.at
Snow Ice,"78, Sangmupyeonghwa-Ro",,9287504,https://media-cdn.tripadvisor.com/media/photo-w/17/63/b4/6d/photo0jpg.jpg,7,+82 62-373-8808,1,25,4.5,0,0,0,3,4,3.09831380844116,https://www.tripadvisor.com/Restaurant_Review-g304129-d9287504-Reviews-Snow_Ice-Gwangju.html,
Starbucks Shinsegae Gwangju Fashion Mall,"61, Jukbong-daero, Seo-gu",Cafe,9245820,,10,+82 62-352-8437,0,26,4.5,0,0,0,7,3,3.09711766242981,https://www.tripadvisor.com/Restaurant_Review-g304129-d9245820-Reviews-Starbucks_Shinsegae_Gwangju_Fashion_Mall-Gwangju.html,http://www.istarbucks.co.kr
Wonjo Halmae Yennal Boribap,"503-5, Sinhyeon-ri, Opo-eup",Asian,5512731,,4,+82 31-726-3577,0,26,4.5,0,0,0,3,1,3.03983163833618,https://www.tripadvisor.com/Restaurant_Review-g2024868-d5512731-Reviews-Wonjo_Halmae_Yennal_Boribap-Gwangju_Gyeonggi_do.html,
Wolgyesu,"102-11, Chungjang-Ro",,9186196,https://media-cdn.tripadvisor.com/media/photo-o/0a/47/9b/4c/photo0jpg.jpg,9,,1,27,4,0,0,1,7,1,3.0966808795929,https://www.tripadvisor.com/Restaurant_Review-g304129-d9186196-Reviews-Wolgyesu-Gwangju.html,
Puddle House,"1337-74, Gyeongchung-daero, Chowol-eup",Italian,8874461,https://media-cdn.tripadvisor.com/media/photo-o/0e/30/9b/93/photo2jpg.jpg,6,+82 31-766-0757,22,27,3.5,0,0,2,4,0,3.03923416137695,https://www.tripadvisor.com/Restaurant_Review-g2024868-d8874461-Reviews-Puddle_House-Gwangju_Gyeonggi_do.html,http://puddlehouse.com/ws/
Yuk Pancake Famous House,"174, Sangmujayu-Ro",,9205322,https://media-cdn.tripadvisor.com/media/photo-o/0d/00/8a/81/photo3jpg.jpg,11,+82 62-384-6767,10,28,4.5,1,0,1,2,7,3.09225463867187,https://www.tripadvisor.com/Restaurant_Review-g304129-d9205322-Reviews-Yuk_Pancake_Famous_House-Gwangju.html,
Opeun Aelri,"21, Changddeuluit-gil6beon-Gil",,9357291,https://media-cdn.tripadvisor.com/media/photo-o/10/f9/8d/68/20171015-141022-largejpg.jpg,2,+82 70-4106-7704,1,28,5,0,0,0,0,2,3.03786301612854,https://www.tripadvisor.com/Restaurant_Review-g2024868-d9357291-Reviews-Opeun_Aelri-Gwangju_Gyeonggi_do.html,
Ha Goseu,"405-15, Cheonbyeonu-Ro",,9033117,,8,+82 62-236-1408,0,29,4.5,0,0,1,3,4,3.09008550643921,https://www.tripadvisor.com/Restaurant_Review-g304129-d9033117-Reviews-Ha_Goseu-Gwangju.html,
Round,"12-1, Ssanghak-ro, Seo-gu",Austrian,17751123,https://media-cdn.tripadvisor.com/media/photo-m/1280/18/58/0f/21/awesome.jpg,2,+82 10-5372-4242,13,29,4.5,0,0,0,1,1,3.03678274154663,https://www.tripadvisor.com/Restaurant_Review-g2024868-d17751123-Reviews-Round-Gwangju_Gyeonggi_do.html,
Deung Village Noodles Soup,"250-8, Geumnam-Ro",,9115040,,10,,0,30,4,0,0,3,3,4,3.08588337898254,https://www.tripadvisor.com/Restaurant_Review-g304129-d9115040-Reviews-Deung_Village_Noodles_Soup-Gwangju.html,
Baskin Robbins 31,"118-1, Jungang-Ro",,8903812,,3,+82 31-764-4949,0,30,4.5,0,0,0,2,1,3.03548765182495,https://www.tripadvisor.com/Restaurant_Review-g2024868-d8903812-Reviews-Baskin_Robbins_31-Gwangju_Gyeonggi_do.html,
Saboten,"932, Mujin-Daero",,9306618,,7,+82 62-360-1970,0,31,4.5,0,0,0,4,3,3.08300828933716,https://www.tripadvisor.com/Restaurant_Review-g304129-d9306618-Reviews-Saboten-Gwangju.html,
Mr. Pizza Gwangju,"30-1, Gyeongan-dong",Pizza,4320979,,5,+82 31-797-2121,0,31,4,0,1,0,3,1,3.03505444526672,https://www.tripadvisor.com/Restaurant_Review-g2024868-d4320979-Reviews-Mr_Pizza_Gwangju-Gwangju_Gyeonggi_do.html,
Yangdong Whole Chicken,"260-1, Cheonbyeonjwa-Ro",,9191065,https://media-cdn.tripadvisor.com/media/photo-o/0e/95/d0/88/caption.jpg,8,+82 62-364-5410,7,32,4.5,0,0,1,2,5,3.08224940299988,https://www.tripadvisor.com/Restaurant_Review-g304129-d9191065-Reviews-Yangdong_Whole_Chicken-Gwangju.html,
Ramen Man Ddang,"Yujeong Building 1f, 108, bongseon2-Ro, nam-gu, gwangjoo",,9289587,https://media-cdn.tripadvisor.com/media/photo-o/0e/4c/f9/8b/katsudong-set-with-a.jpg,6,+82 10-8651-1286,1,33,4.5,0,0,1,1,4,3.08187198638916,https://www.tripadvisor.com/Restaurant_Review-g304129-d9289587-Reviews-Ramen_Man_Ddang-Gwangju.html,
Yeongmyeong Gukbap,"5, Songjeong-ro8beon-Gil",Asian,9199710,https://media-cdn.tripadvisor.com/media/photo-o/10/8d/0e/9a/photo1jpg.jpg,8,+82 62-942-2727,15,34,4,0,0,2,4,2,3.08124923706055,https://www.tripadvisor.com/Restaurant_Review-g304129-d9199710-Reviews-Yeongmyeong_Gukbap-Gwangju.html,
Euddeum Won Korean Beef Meat Eating Restaurant,"280, Naebang-Ro",,9088031,,4,+82 62-372-9290,0,35,5,0,0,0,0,4,3.08009362220764,https://www.tripadvisor.com/Restaurant_Review-g304129-d9088031-Reviews-Euddeum_Won_Korean_Beef_Meat_Eating_Restaurant-Gwangju.html,
Pungcheon Freshwater Eel House,"15, Yeonyang-ro67beon-Gil",Asian,9338464,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/3e/89/30/caption.jpg,3,+82 62-571-9294,23,36,5,0,0,0,0,3,3.07948756217957,https://www.tripadvisor.com/Restaurant_Review-g304129-d9338464-Reviews-Pungcheon_Freshwater_Eel_House-Gwangju.html,http://comgangsa.cafe24.com/eel.html
Lamb and Salt,"50, Sangmuyeonha-ro, Seo-gu",Korean,12534015,https://media-cdn.tripadvisor.com/media/photo-o/10/0c/1b/f6/getlstd-property-photo.jpg,7,+82 62-373-1360,9,37,4.5,0,1,0,2,4,3.07857966423035,https://www.tripadvisor.com/Restaurant_Review-g304129-d12534015-Reviews-Lamb_and_Salt-Gwangju.html,
Master Fermented Soy Beans Stew Bossam,"107, Sangmupyeonghwa-Ro",,9400966,https://media-cdn.tripadvisor.com/media/photo-o/10/05/f7/56/c360-2017-07-22-16-02.jpg,6,+82 62-385-3224,2,38,4.5,0,0,0,3,3,3.07846808433533,https://www.tripadvisor.com/Restaurant_Review-g304129-d9400966-Reviews-Master_Fermented_Soy_Beans_Stew_Bossam-Gwangju.html,
Baeyeonjeong Ox Head Rice Soup,"24, Gonjiam-ro50beon-Gil",,8953502,https://media-cdn.tripadvisor.com/media/photo-o/0c/5d/f1/fe/caption.jpg,3,+82 31-763-8030,4,38,4,0,0,0,3,0,3.0312831401825,https://www.tripadvisor.com/Restaurant_Review-g2024868-d8953502-Reviews-Baeyeonjeong_Ox_Head_Rice_Soup-Gwangju_Gyeonggi_do.html,
Hwangsol Village,"143, Uncheon-Ro",,8962148,https://media-cdn.tripadvisor.com/media/photo-o/13/c4/57/52/20180720-114545-largejpg.jpg,6,+82 62-376-9233,9,39,4.5,0,0,0,4,2,3.07845401763916,https://www.tripadvisor.com/Restaurant_Review-g304129-d8962148-Reviews-Hwangsol_Village-Gwangju.html,
Starbucks Chonnam National Univ.,"110, Uchi-ro, Buk-gu",Cafe,9245241,,12,+82 62-251-0604,0,40,4,1,0,1,5,5,3.07844424247742,https://www.tripadvisor.com/Restaurant_Review-g304129-d9245241-Reviews-Starbucks_Chonnam_National_Univ-Gwangju.html,http://www.istarbucks.co.kr
Man Gimbap,"174, Sangmujayu-Ro",,9451044,,5,+82 62-373-8295,0,41,5,0,0,0,1,4,3.0775032043457,https://www.tripadvisor.com/Restaurant_Review-g304129-d9451044-Reviews-Man_Gimbap-Gwangju.html,
Mom's  Touch,"80-9, Chungjang-Ro",,9416476,,6,,0,42,4.5,0,0,0,3,3,3.07736492156982,https://www.tripadvisor.com/Restaurant_Review-g304129-d9416476-Reviews-Mom_s_Touch-Gwangju.html,
Mira Sia,"278, Docheokuit-Ro",,9410662,,3,+82 31-8026-5510,0,42,4,0,0,0,3,0,3.02904009819031,https://www.tripadvisor.com/Restaurant_Review-g2024868-d9410662-Reviews-Mira_Sia-Gwangju_Gyeonggi_do.html,
Africa and Soul,"172-1, Uncheon-Ro",,8935986,https://media-cdn.tripadvisor.com/media/photo-o/10/09/8a/75/20170724-191748-largejpg.jpg,5,+82 62-385-0722,8,43,5,0,0,0,1,4,3.07598209381104,https://www.tripadvisor.com/Restaurant_Review-g304129-d8935986-Reviews-Africa_and_Soul-Gwangju.html,
South Sea Garden,"30, bongseon2-Ro",,9240533,https://media-cdn.tripadvisor.com/media/photo-o/18/ae/23/32/caption.jpg,4,+82 62-671-8348,2,44,4.5,0,0,0,2,2,3.07557606697083,https://www.tripadvisor.com/Restaurant_Review-g304129-d9240533-Reviews-South_Sea_Garden-Gwangju.html,
Yeong Mi Duck Stew,"126, Gyeongyang-Ro",,9197569,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/f7/b7/e9/caption.jpg,6,+82 62-527-0249,7,45,4.5,0,0,1,2,3,3.07133674621582,https://www.tripadvisor.com/Restaurant_Review-g304129-d9197569-Reviews-Yeong_Mi_Duck_Stew-Gwangju.html,
Yard Spacious House,"29, Gwangyeo-Ro",,9192942,https://media-cdn.tripadvisor.com/media/photo-o/11/56/80/a4/20171122-125419-largejpg.jpg,2,,2,45,4.5,0,0,0,1,1,3.02893471717834,https://www.tripadvisor.com/Restaurant_Review-g2024868-d9192942-Reviews-Yard_Spacious_House-Gwangju_Gyeonggi_do.html,
Starbucks Sinsegae Gwangju,"904, Mujin-daero, Seo-gu",Cafe,9245946,,10,+82 62-360-1137,0,46,4,0,0,4,3,3,3.07013654708862,https://www.tripadvisor.com/Restaurant_Review-g304129-d9245946-Reviews-Starbucks_Sinsegae_Gwangju-Gwangju.html,http://www.istarbucks.co.kr
Starbucks Chungjang Seorim,"93-5, Chungjang-ro, Dong-gu",Cafe,9245949,https://media-cdn.tripadvisor.com/media/photo-o/0d/aa/a2/ef/caption.jpg,14,+82 62-233-1849,2,47,3.5,0,1,5,7,1,3.06868982315063,https://www.tripadvisor.com/Restaurant_Review-g304129-d9245949-Reviews-Starbucks_Chungjang_Seorim-Gwangju.html,http://www.istarbucks.co.kr
Pujuok Main,"694-1, Sinhyeon-ri, Opo-eup",Asian,5512727,,3,+82 31-718-0507,0,47,4,0,0,1,1,1,3.0281765460968,https://www.tripadvisor.com/Restaurant_Review-g2024868-d5512727-Reviews-Pujuok_Main-Gwangju_Gyeonggi_do.html,
Pizza School,"18, Chipyeong-Ro",,9328324,,5,+82 62-385-8778,0,48,4.5,0,0,0,2,3,3.06844401359558,https://www.tripadvisor.com/Restaurant_Review-g304129-d9328324-Reviews-Pizza_School-Gwangju.html,
Chingune Bapsang,"1894, Sansu-ro, Namjong-myeon",,20368934,,1,,0,48,5,0,0,0,0,1,3.02739071846008,https://www.tripadvisor.com/Restaurant_Review-g2024868-d20368934-Reviews-Chingune_Bapsang-Gwangju_Gyeonggi_do.html,
