address,cuisines/0,cuisines/1,cuisines/2,cuisines/3,id,image,latitude,localName,longitude,mealTypes/0,menuWebUrl,name,numberOfReviews,phone,priceLevel,priceRange,rankingDenominator,rankingPosition,rating,rawRanking,webUrl,website
"2, Seoha-ro257beon-Gil, Gwangju South Korea",Italian,Pizza,,,9111080,,35.18729,뚬벙,126.90904,,,Ddumbeong,9,,,,954,13,5,3.126145362854,https://www.tripadvisor.com/Restaurant_Review-g304129-d9111080-Reviews-Ddumbeong-Gwangju.html,
"3, Dongsan-gil 7beon-gil, Dong-gu, Gwangju 61494 South Korea",Asian,Korean,,,8737469,https://media-cdn.tripadvisor.com/media/photo-o/0a/bc/8c/b4/first-plate-of-delicious.jpg,,수자타,,,,Sujata,14,+82 62-222-1145,$,,954,12,4.5,3.13549971580505,https://www.tripadvisor.com/Restaurant_Review-g304129-d8737469-Reviews-Sujata-Gwangju.html,
"2, Chipyeong-Ro, Gwangju South Korea",,,,,9125511,https://media-cdn.tripadvisor.com/media/photo-o/11/ea/ac/99/c360-2018-01-24-12-23.jpg,,청원모밀,,,,Cheongwon Mo Wheat,12,,,,954,10,4.5,3.1436333656311,https://www.tripadvisor.com/Restaurant_Review-g304129-d9125511-Reviews-Cheongwon_Mo_Wheat-Gwangju.html,
"4, Dongmyeong-Ro, Gwangju South Korea",,,,,9438977,https://media-cdn.tripadvisor.com/media/photo-s/0d/67/c0/9c/caption.jpg,,쿤스트라운지,,,,Kunst Lounge,12,+82 62-223-0009,$$ - $$$,,954,11,4.5,3.13767719268799,https://www.tripadvisor.com/Restaurant_Review-g304129-d9438977-Reviews-Kunst_Lounge-Gwangju.html,
"12, Sangmujungang-ro 34beon-gil, Seo-gu, Gwangju 61963 South Korea",,,,,8532274,https://media-cdn.tripadvisor.com/media/photo-o/08/c1/92/49/caption.jpg,,상추튀김,,Breakfast,,Sangchu Tuigim,23,+82 70-4205-3721,,,954,8,4,3.14869523048401,https://www.tripadvisor.com/Restaurant_Review-g304129-d8532274-Reviews-Sangchu_Tuigim-Gwangju.html,
"23-1 Sangmuminju-ro, Gwangju South Korea",,,,,9106644,https://media-cdn.tripadvisor.com/media/photo-o/18/13/73/07/20190626-133143-023-largejpg.jpg,35.174465,다연닭갈비 상무본점,126.81401,Lunch,,Dayeon Dakgalbi Sangmu,9,+82 62-953-3236,,,954,14,5,3.12041974067688,https://www.tripadvisor.com/Restaurant_Review-g304129-d9106644-Reviews-Dayeon_Dakgalbi_Sangmu-Gwangju.html,
"23, Uncheon-ro113beon-Gil, Gwangju South Korea",,,,,8890153,https://media-cdn.tripadvisor.com/media/photo-o/0a/5f/7e/f6/photo1jpg.jpg,,카페바리에,,,,Cafe Bari E,13,,$$ - $$$,,954,7,4.5,3.14956569671631,https://www.tripadvisor.com/Restaurant_Review-g304129-d8890153-Reviews-Cafe_Bari_E-Gwangju.html,
"144, Wolsan-Ro, Gwangju South Korea",,,,,8910493,https://media-cdn.tripadvisor.com/media/photo-w/2b/7d/d3/62/caption.jpg,,베비에르,,,,Verviers Bakery,9,+82 62-682-0696,,,954,6,5,3.15538001060486,https://www.tripadvisor.com/Restaurant_Review-g304129-d8910493-Reviews-Verviers_Bakery-Gwangju.html,http://www.facebook.com/verviers1991/
"39-1, Munhwajeondang-ro, Dong-gu, Gwangju South Korea",,,,,8532292,https://media-cdn.tripadvisor.com/media/photo-o/0f/5d/26/b4/photo1jpg.jpg,,마한지,,,,Mahanji,28,+82 62-234-9260,$$ - $$$,,954,4,4.5,3.23290491104126,https://www.tripadvisor.com/Restaurant_Review-g304129-d8532292-Reviews-Mahanji-Gwangju.html,
"93-6 Chungjang-ro, Chungjang-dong, Dong-gu, Gwangju South Korea",Cafe,,,,9365408,https://media-cdn.tripadvisor.com/media/photo-o/0a/63/04/fd/photo0jpg.jpg,,궁전제과,,,,Kungjeun Bakery,35,+82 62-222-3477,,,954,3,4,3.26528906822205,https://www.tripadvisor.com/Restaurant_Review-g304129-d9365408-Reviews-Kungjeun_Bakery-Gwangju.html,http://www.kungjeun.co.kr/
"6-44, Seoseok-ro 7beon-gil, Dong-gu Second floor, Gwangju 61484 South Korea",Indian,Nepali,Asian,Vegetarian Friendly,8532439,https://media-cdn.tripadvisor.com/media/photo-o/0f/32/03/72/photo4jpg.jpg,35.146164,퍼스트 네팔,126.91585,Dinner,,First Nepal,41,+82 62-225-8771,$$ - $$$,,954,2,4,3.27419543266296,https://www.tripadvisor.com/Restaurant_Review-g304129-d8532439-Reviews-First_Nepal-Gwangju.html,
"16-10, Jungang-ro160beon-Gil, Gwangju South Korea",Barbecue,Asian,Korean,,8962119,https://media-cdn.tripadvisor.com/media/photo-o/07/ff/a7/1d/minsokchon-chungjangno.jpg,35.147266,황솔촌,126.914,Lunch,,Hwangsol Village,65,+82 62-222-4815,$$ - $$$,,954,1,4.5,3.40809273719788,https://www.tripadvisor.com/Restaurant_Review-g304129-d8962119-Reviews-Hwangsol_Village-Gwangju.html,http://www.hsckorea.com/
"932, Mujin-Daero, Gwangju South Korea",,,,,9306618,,,사보텐,,,,Saboten,7,+82 62-360-1970,,,954,31,4.5,3.08300828933716,https://www.tripadvisor.com/Restaurant_Review-g304129-d9306618-Reviews-Saboten-Gwangju.html,
"250-8, Geumnam-Ro, Gwangju South Korea",,,,,9115040,,,등촌칼국수,,,,Deung Village Noodles Soup,10,,,,954,30,4,3.08588337898254,https://www.tripadvisor.com/Restaurant_Review-g304129-d9115040-Reviews-Deung_Village_Noodles_Soup-Gwangju.html,
"6, Gwangsan-ro 30beon-gil, Gwangsan-gu, Gwangju 62436 South Korea",Asian,Korean,,,8720993,https://media-cdn.tripadvisor.com/media/photo-o/09/3d/bc/f2/songjeong-tteokgalbi.jpg,,송정떡갈비 2호점,,,,Songjeong Tteokgalbi 2,13,+82 62-944-1438,$$ - $$$,,954,9,4.5,3.14474964141846,https://www.tripadvisor.com/Restaurant_Review-g304129-d8720993-Reviews-Songjeong_Tteokgalbi_2-Gwangju.html,
"174, Sangmujayu-Ro, Gwangju South Korea",,,,,9205322,https://media-cdn.tripadvisor.com/media/photo-o/0d/00/8a/81/photo3jpg.jpg,,육전명가,,,,Yuk Pancake Famous House,11,+82 62-384-6767,,,954,28,4.5,3.09225463867187,https://www.tripadvisor.com/Restaurant_Review-g304129-d9205322-Reviews-Yuk_Pancake_Famous_House-Gwangju.html,
"102-11, Chungjang-Ro, Gwangju South Korea",,,,,9186196,https://media-cdn.tripadvisor.com/media/photo-o/0a/47/9b/4c/photo0jpg.jpg,,월계수,,,,Wolgyesu,9,,,,954,27,4,3.0966808795929,https://www.tripadvisor.com/Restaurant_Review-g304129-d9186196-Reviews-Wolgyesu-Gwangju.html,
"718, Sangmu-daero, Seo-gu, Gwangju 61999 South Korea",Italian,,,,8285825,https://media-cdn.tripadvisor.com/media/photo-o/0b/94/82/b2/le-ciel-blue.jpg,35.14389,르시엘블루,126.8425,,,Le Ciel Blue,24,+82 62-374-1555,$$ - $$$,,954,5,4.5,3.21477150917053,https://www.tripadvisor.com/Restaurant_Review-g304129-d8285825-Reviews-Le_Ciel_Blue-Gwangju.html,http://www.facebook.com/LECIELBLUEGJ
"10 Sangmujungang-ro 104beon-gil, Chipyeong-dong, Gwangju South Korea",,,,,17466012,https://media-cdn.tripadvisor.com/media/photo-w/17/b0/ab/35/caption.jpg,,Yeongmi Oritang gwangju sangmujeom,,Lunch,,Yeongmi Oritang gwangju sangmujeom,3,+82 62-362-5252,,,954,936,3.5,2.9604606628418,https://www.tripadvisor.com/Restaurant_Review-g304129-d17466012-Reviews-Yeongmi_Oritang_gwangju_sangmujeom-Gwangju.html,
"178, Bullo-dong, Dong-gu, Gwangju, Gyeonggi-do South Korea",Grill,Fusion,,,4121417,,,빕스 광주충장로점,,,,VIPS Gwangju Chungjangno,0,+82 62-224-1997,,,,,,,https://www.tripadvisor.com/Restaurant_Review-g2024868-d4121417-Reviews-VIPS_Gwangju_Chungjangno-Gwangju_Gyeonggi_do.html,
"405-15, Cheonbyeonu-Ro, Gwangju South Korea",,,,,9033117,,,하고스,,,,Ha Goseu,8,+82 62-236-1408,,,954,29,4.5,3.09008550643921,https://www.tripadvisor.com/Restaurant_Review-g304129-d9033117-Reviews-Ha_Goseu-Gwangju.html,
"1194, Hoejae-ro, Nam-gu, Gwangju 61730 South Korea",Cafe,,,,8535610,https://media-cdn.tripadvisor.com/media/photo-o/08/b6/56/b3/caffe-bene-gwangju-juwol.jpg,,카페베네 광주주월점,,,,Caffe Bene Gwangju Juwol,3,+82 70-4121-6233,,,954,724,3.5,3.0093047618866,https://www.tripadvisor.com/Restaurant_Review-g304129-d8535610-Reviews-Caffe_Bene_Gwangju_Juwol-Gwangju.html,
"Hanam-dong, Gwangsan-gu, Gwangju, Gyeonggi-do South Korea",Japanese,,,,3939635,,,롯데리아 홈플러스광주하남,,,,Lotteria Home Plus Gwangju Hanam Store,0,+82 62-961-2006,,,,,,,https://www.tripadvisor.com/Restaurant_Review-g2024868-d3939635-Reviews-Lotteria_Home_Plus_Gwangju_Hanam_Store-Gwangju_Gyeonggi_do.html,
"16, Jeungsimsa-gil, Dong-gu, Gwangju 61493 South Korea",Cafe,,,,9245364,,,스타벅스 광주무등산점,,,,Starbucks Gwangju Mudeungsan,1,+82 62-223-8710,,,954,355,5,3.01831245422363,https://www.tripadvisor.com/Restaurant_Review-g304129-d9245364-Reviews-Starbucks_Gwangju_Mudeungsan-Gwangju.html,http://www.istarbucks.co.kr
"113-1, Yangrim-Ro, Gwangju South Korea",,,,,9383359,,35.139816,남광주장터,126.920425,,,Nam Gwangju Market,2,,,,954,197,4.5,3.02790355682373,https://www.tripadvisor.com/Restaurant_Review-g304129-d9383359-Reviews-Nam_Gwangju_Market-Gwangju.html,
"150, Opo-ro, Opo-eup, Gwangju, Gyeonggi-do 12773 South Korea",,,,,20381827,https://media-cdn.tripadvisor.com/media/photo-w/1b/3d/f4/f0/caption.jpg,,투썸플레이스 - 광주오포점,,,,A Twosome Place - Gwangju Oppo,1,+82 31-761-0205,,,212,93,4,3.01469349861145,https://www.tripadvisor.com/Restaurant_Review-g2024868-d20381827-Reviews-A_Twosome_Place_Gwangju_Oppo-Gwangju_Gyeonggi_do.html,https://www.twosome.co.kr:7009/store/storeView.asp?sort_store=1018
"Yongbong-dong 159-12 Buk-gu 1sr Floor, Gwangju South Korea",Italian,Wine Bar,Northern-Italian,,19442841,https://media-cdn.tripadvisor.com/media/photo-o/1a/1d/9a/99/photos-of-cafe-italia.jpg,35.17556,Cafe Italia - Gwangju,126.913574,,,Cafe Italia - Gwangju,0,+82 62-269-6849,$,"$4,900 - $13,900",,,,,https://www.tripadvisor.com/Restaurant_Review-g304129-d19442841-Reviews-Cafe_Italia_Gwangju-Gwangju.html,
"163, Jungang-ro, Dong-gu, Gwangju, Gyeonggi-do South Korea",,,,,8024164,,,애슐리 광주NC웨이브점,,,,Ashley Gwangju NC Wave,2,,,,212,168,3.5,3.00810480117798,https://www.tripadvisor.com/Restaurant_Review-g2024868-d8024164-Reviews-Ashley_Gwangju_NC_Wave-Gwangju_Gyeonggi_do.html,
"42, Imbangul-daero 801beon-gil, Gwangsan-gu, Gwangju 62275 South Korea",Asian,Korean,,,8862966,,35.219845,이비가짬뽕 - 광주첨단점,126.84625,,,Ebiga Jjamppong - Gwangju Cheomdan,1,+82 62-974-9333,,,954,423,5,3.01564478874207,https://www.tripadvisor.com/Restaurant_Review-g304129-d8862966-Reviews-Ebiga_Jjamppong_Gwangju_Cheomdan-Gwangju.html,http://www.ebiga.co.kr/
"30-1, Gyeongan-dong, Gwangju, Gyeonggi-do South Korea",Pizza,,,,4320979,,,미스터피자 광주점,,,,Mr. Pizza Gwangju,5,+82 31-797-2121,,,212,31,4,3.03505444526672,https://www.tripadvisor.com/Restaurant_Review-g2024868-d4320979-Reviews-Mr_Pizza_Gwangju-Gwangju_Gyeonggi_do.html,
"8, Sangmuhwawon-ro11beon-Gil, Gwangju South Korea",,,,,9028199,,35.145256,광주밥집,126.8418,,,Gwangju Rice House,2,,,,954,855,3,3.00553178787231,https://www.tripadvisor.com/Restaurant_Review-g304129-d9028199-Reviews-Gwangju_Rice_House-Gwangju.html,
"59, Munhwasotong-ro 108beon-gil, Buk-gu, Gwangju South Korea",Indian,,,,8368692,,,Indian Restaurant in Gwangju,,,https://indianfoodkorea.webs.com/menu,Indian Restaurant in Gwangju,1,+82 10-3040-5100,,,954,733,4,3.00903344154358,https://www.tripadvisor.com/Restaurant_Review-g304129-d8368692-Reviews-Indian_Restaurant_in_Gwangju-Gwangju.html,http://indianfoodkorea.webs.com/
"952-17, Munheung-dong, Buk-gu, Gwangju, Gyeonggi-do South Korea",Pizza,,,,4120662,,,도미노피자 광주북구점,,,,Domino's Pizza Gwangju Bukgu,0,+82 62-267-3082,,,,,,,https://www.tripadvisor.com/Restaurant_Review-g2024868-d4120662-Reviews-Domino_s_Pizza_Gwangju_Bukgu-Gwangju_Gyeonggi_do.html,
"61, Jukbong-daero, Seo-gu B1F, Gwangju 61937 South Korea",Cafe,,,,9245820,,,스타벅스 신세계광주패션몰점,,,,Starbucks Shinsegae Gwangju Fashion Mall,10,+82 62-352-8437,,,954,26,4.5,3.09711766242981,https://www.tripadvisor.com/Restaurant_Review-g304129-d9245820-Reviews-Starbucks_Shinsegae_Gwangju_Fashion_Mall-Gwangju.html,http://www.istarbucks.co.kr
"20, Sangmunuri-Ro, Gwangju South Korea",,,,,9107961,https://media-cdn.tripadvisor.com/media/photo-o/0b/11/34/26/caption.jpg,35.144985,떼시스,126.840546,,,Dde Siseu,6,,,,954,59,4,3.06214594841003,https://www.tripadvisor.com/Restaurant_Review-g304129-d9107961-Reviews-Dde_Siseu-Gwangju.html,
"55, Bongseonjungang-Ro, Gwangju South Korea",,,,,9304223,,,로니로티,,,,Roni Roti,7,+82 62-651-9777,,,954,56,4,3.06321954727173,https://www.tripadvisor.com/Restaurant_Review-g304129-d9304223-Reviews-Roni_Roti-Gwangju.html,
"904, Mujin-Daero, Gwangju South Korea",,,,,8935910,https://media-cdn.tripadvisor.com/media/photo-o/0d/5c/79/aa/caption.jpg,,애슐리,,,,Aesyulri,6,+82 62-352-1031,,,954,57,4,3.06280112266541,https://www.tripadvisor.com/Restaurant_Review-g304129-d8935910-Reviews-Aesyulri-Gwangju.html,
"218, Baekseo-Ro, Gwangju South Korea",,,,,9409878,,,미미원,,,,Mimi Won,5,+82 62-228-3101,,,954,54,4,3.0641872882843,https://www.tripadvisor.com/Restaurant_Review-g304129-d9409878-Reviews-Mimi_Won-Gwangju.html,
"921-1, Sangmu-Daero, Gwangju South Korea",,,,,9402505,,,맥도날드,,,,Mcdonalds,4,+82 70-7017-6781,,,954,55,5,3.06325936317444,https://www.tripadvisor.com/Restaurant_Review-g304129-d9402505-Reviews-Mcdonalds-Gwangju.html,
"923, Mujin-Daero, Gwangju South Korea",,,,,9426637,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/41/81/8e/photo0jpg.jpg,,왕뼈사랑,,,,King Bbyeo Love,7,+82 62-367-9993,,,954,52,4,3.06600022315979,https://www.tripadvisor.com/Restaurant_Review-g304129-d9426637-Reviews-King_Bbyeo_Love-Gwangju.html,
"67, Bongseonjungang-Ro, Gwangju South Korea",,,,,9016025,,,금성칡냉면,,,,Gold Star Buckwheat Cold Noodles,7,,,,954,51,4,3.06627321243286,https://www.tripadvisor.com/Restaurant_Review-g304129-d9016025-Reviews-Gold_Star_Buckwheat_Cold_Noodles-Gwangju.html,
"937, Mujin-Daero, Gwangju South Korea",,,,,8896671,,,채선당,,,,Chaeseondang,6,+82 62-368-0006,,,954,50,4,3.06678771972656,https://www.tripadvisor.com/Restaurant_Review-g304129-d8896671-Reviews-Chaeseondang-Gwangju.html,
"85, Cheomdangangbyeon-ro, Gwangsan-gu, Gwangju 62279 South Korea",,,,,9706599,https://media-cdn.tripadvisor.com/media/photo-o/14/0c/33/d7/c360-2018-08-08-12-47.jpg,,꽃담,,,,Kkotdam,5,+82 62-974-0001,,,954,49,4.5,3.06801414489746,https://www.tripadvisor.com/Restaurant_Review-g304129-d9706599-Reviews-Kkotdam-Gwangju.html,
"18, Chipyeong-Ro, Gwangju South Korea",,,,,9328324,,,피자스쿨,,,,Pizza School,5,+82 62-385-8778,,,954,48,4.5,3.06844401359558,https://www.tripadvisor.com/Restaurant_Review-g304129-d9328324-Reviews-Pizza_School-Gwangju.html,
"126, Gyeongyang-Ro, Gwangju South Korea",,,,,9197569,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/f7/b7/e9/caption.jpg,,영미오리탕,,,,Yeong Mi Duck Stew,6,+82 62-527-0249,,,954,45,4.5,3.07133674621582,https://www.tripadvisor.com/Restaurant_Review-g304129-d9197569-Reviews-Yeong_Mi_Duck_Stew-Gwangju.html,
"17-6, Dongmyeong-ro 20beon-gil, Dong-gu, Gwangju 61434 South Korea",,,,,11746784,https://media-cdn.tripadvisor.com/media/photo-o/0f/e7/c9/f2/photo1jpg.jpg,,알랭,,,,Alain,5,+82 62-228-2345,,,954,58,4.5,3.06253266334534,https://www.tripadvisor.com/Restaurant_Review-g304129-d11746784-Reviews-Alain-Gwangju.html,
"172-1, Uncheon-Ro, Gwangju South Korea",,,,,8935986,https://media-cdn.tripadvisor.com/media/photo-o/10/09/8a/75/20170724-191748-largejpg.jpg,,아프리카앤소울,,,,Africa and Soul,5,+82 62-385-0722,,,954,43,5,3.07598209381104,https://www.tripadvisor.com/Restaurant_Review-g304129-d8935986-Reviews-Africa_and_Soul-Gwangju.html,
"80-9, Chungjang-Ro, Gwangju South Korea",,,,,9416476,,,맘스터치,,,,Mom's  Touch,6,,,,954,42,4.5,3.07736492156982,https://www.tripadvisor.com/Restaurant_Review-g304129-d9416476-Reviews-Mom_s_Touch-Gwangju.html,
"111, Uncheon-Ro, Gwangju South Korea",,,,,9114977,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/57/a9/dd/caption.jpg,,등촌,,,,Deung Village,3,,,,954,53,4.5,3.06432938575745,https://www.tripadvisor.com/Restaurant_Review-g304129-d9114977-Reviews-Deung_Village-Gwangju.html,
"174, Sangmujayu-Ro, Gwangju South Korea",,,,,9451044,,,사나이김밥,,,,Man Gimbap,5,+82 62-373-8295,,,954,41,5,3.0775032043457,https://www.tripadvisor.com/Restaurant_Review-g304129-d9451044-Reviews-Man_Gimbap-Gwangju.html,
"143, Uncheon-Ro, Gwangju South Korea",,,,,8962148,https://media-cdn.tripadvisor.com/media/photo-o/13/c4/57/52/20180720-114545-largejpg.jpg,35.145092,황솔촌,126.85665,,,Hwangsol Village,6,+82 62-376-9233,,,954,39,4.5,3.07845401763916,https://www.tripadvisor.com/Restaurant_Review-g304129-d8962148-Reviews-Hwangsol_Village-Gwangju.html,
"50, Sangmuyeonha-ro, Seo-gu, Gwangju 61949 South Korea",Korean,,,,12534015,https://media-cdn.tripadvisor.com/media/photo-o/10/0c/1b/f6/getlstd-property-photo.jpg,,램앤솔트,,,,Lamb and Salt,7,+82 62-373-1360,$$ - $$$,"$28,000 - $40,000",954,37,4.5,3.07857966423035,https://www.tripadvisor.com/Restaurant_Review-g304129-d12534015-Reviews-Lamb_and_Salt-Gwangju.html,
"280, Naebang-Ro, Gwangju South Korea",,,,,9088031,,,으뜸원한우식육식당,,,,Euddeum Won Korean Beef Meat Eating Restaurant,4,+82 62-372-9290,,,954,35,5,3.08009362220764,https://www.tripadvisor.com/Restaurant_Review-g304129-d9088031-Reviews-Euddeum_Won_Korean_Beef_Meat_Eating_Restaurant-Gwangju.html,
"5, Songjeong-ro8beon-Gil, Gwangju South Korea",Asian,Korean,,,9199710,https://media-cdn.tripadvisor.com/media/photo-o/10/8d/0e/9a/photo1jpg.jpg,35.136784,영명국밥,126.79219,Breakfast,,Yeongmyeong Gukbap,8,+82 62-942-2727,,,954,34,4,3.08124923706055,https://www.tripadvisor.com/Restaurant_Review-g304129-d9199710-Reviews-Yeongmyeong_Gukbap-Gwangju.html,
"15, Yeonyang-ro67beon-Gil, Gwangju South Korea",Asian,Korean,,,9338464,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/3e/89/30/caption.jpg,35.20817,풍천민물장어하우스,126.874756,,,Pungcheon Freshwater Eel House,3,+82 62-571-9294,,,954,36,5,3.07948756217957,https://www.tripadvisor.com/Restaurant_Review-g304129-d9338464-Reviews-Pungcheon_Freshwater_Eel_House-Gwangju.html,http://comgangsa.cafe24.com/eel.html
"30, bongseon2-Ro, Gwangju South Korea",,,,,9240533,https://media-cdn.tripadvisor.com/media/photo-o/18/ae/23/32/caption.jpg,35.125397,남해가든,126.90965,,,South Sea Garden,4,+82 62-671-8348,,,954,44,4.5,3.07557606697083,https://www.tripadvisor.com/Restaurant_Review-g304129-d9240533-Reviews-South_Sea_Garden-Gwangju.html,
"260-1, Cheonbyeonjwa-Ro, Gwangju South Korea",,,,,9191065,https://media-cdn.tripadvisor.com/media/photo-o/0e/95/d0/88/caption.jpg,35.152813,양동통닭,126.904366,,,Yangdong Whole Chicken,8,+82 62-364-5410,,,954,32,4.5,3.08224940299988,https://www.tripadvisor.com/Restaurant_Review-g304129-d9191065-Reviews-Yangdong_Whole_Chicken-Gwangju.html,
"Yujeong Building 1f, 108, bongseon2-Ro, nam-gu, gwangjoo, Gwangju South Korea",,,,,9289587,https://media-cdn.tripadvisor.com/media/photo-o/0e/4c/f9/8b/katsudong-set-with-a.jpg,,라멘만땅,,Lunch,,Ramen Man Ddang,6,+82 10-8651-1286,,,954,33,4.5,3.08187198638916,https://www.tripadvisor.com/Restaurant_Review-g304129-d9289587-Reviews-Ramen_Man_Ddang-Gwangju.html,
"904, Mujin-Daero, Gwangju South Korea",,,,,8979944,https://media-cdn.tripadvisor.com/media/photo-o/19/ff/32/e2/caption.jpg,,이삭토스트,,,,Isak Toast,6,+82 62-368-2525,,,954,64,4,3.05882549285889,https://www.tripadvisor.com/Restaurant_Review-g304129-d8979944-Reviews-Isak_Toast-Gwangju.html,
"50, Yongbongtaekji-Ro, Gwangju South Korea",,,,,9114754,,,들깨마을칼국수전문점,,,,Deulkkae Village Noodles Soup Speciality,3,,,,954,63,5,3.05904078483582,https://www.tripadvisor.com/Restaurant_Review-g304129-d9114754-Reviews-Deulkkae_Village_Noodles_Soup_Speciality-Gwangju.html,
"Located inside the Gwangcheon Jungang Terminal, 49-1, Gwangcheon-dong, Seo-gu, Gwangju, Gyeonggi-do South Korea",,,,,3973039,,,배스킨라빈스 광주터미널,,,,Baskin-Robbins Gwangju Terminal Store,1,+82 62-368-3130,,,212,167,4,3.00813841819763,https://www.tripadvisor.com/Restaurant_Review-g2024868-d3973039-Reviews-Baskin_Robbins_Gwangju_Terminal_Store-Gwangju_Gyeonggi_do.html,
